,,,,,,,,,,,,,,Random Total,"8567,00%",,,,,,,,,,,,,,,,,,,"12363,00%",7545470975,Cob2+,,,,,,
,,,,,,,,,,,,,,Random No TV,"4328,00%",,1,Target,Individuos 16+,,,,,,,,,,,,,,,,6777637764,Cob3+,,,,,,
,,,,,,,,,,,,,,,Corr Dupl,,1,Universo 000,"41.582",,,,,,,,,,,,,,,,84,305,,,,,,
,,,,,,,,,,,,,,Medios Dig,7,,,Presupuesto,1.200.000,,,,,,,,,,,,,,,,747,442,,,,,,
,,,,,,,,,,,,,,Tv + Dig,9,,Escala,,,,,,,,,,,,,,,,,,398,93,,,,,,
,,,,,,,,,,,,,,,9,,1.500.000,,Inversión,%,CPM,Impresiones Totales 000,% Rendimiento,GRPs Target,Cob %,Frec,Cob 000,Impresiones Target,CPM Target,C/GRP Target,C/GRP 100% Rdto,,,Att Cob %,,,,,,,,
,,,,,,,,,,,,,,,,,,Global,1.200.000,"10000,00%",35,343.256,100%,825,"8400,00%",983,34.930,343.256,35,1.454,1.454,,,"8400,00%",,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,"8777,00%",,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,A,B,C,Nº,Channel,Inversión,% Inv,CPM Compra,Impresiones Totales 000,% Rendimiento,GRPs Target,Cob %,Frec,Cob 000,Impresiones Target,CPM Target,C/GRP Target,C/GRP 100% Rdto,Coste Marginal €,,Att Cob %,,,,,,,Plan  100% Medio1,"7914,00%"
,,,,,,,,,,,,1,,858,1091,-9097,1,Televisión,644.830,"5370,00%",217,297.157,"10000,00%",715,"7470,00%",956,31.077,297.157,217,902,902,18,,"7474,00%",,,,,,,,
,,,,,,,,,,,,1,,7191,102,-10022,2,Digital Video,325.102,"2710,00%",915,35.530,"10000,00%",85,"3270,00%",262,13.587,35.530,915,3.805,3.805,4,,"3981,00%",,,,,,,,
,,,,,,,,,,,,1,,4678,216,-11836,3,Cine,160.068,"1330,00%",23,6.959,"10000,00%",17,"1250,00%",134,5.206,6.959,23,9.564,9.564,4,,,,,,,,,,
,,,,,,,,,,,,1,,1908,469,-945,4,BVOD,70.000,"580,00%",1939,3.610,"10000,00%",9,"370,00%",235,1.537,3.610,1939,8.063,8.063,6,,,,,,,,,,
,,,,,,,,,,,,1,,#N/D,#N/D,#N/D,5,,,,0,,"10000,00%",,,,,,,,,#¡VALOR!,,,,,,,,,,
,,,,,,,,,,,,1,,#N/D,#N/D,#N/D,6,,,,0,,"10000,00%",,,,,,,,,#¡VALOR!,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,"10000,00%",,,,,,,,,#¡VALOR!,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,"10000,00%",,,,,,,,,#¡VALOR!,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
